Componente,Modelo,Link,Preço
Quadro,SHOW NEXTEP,https://meli.la/2yEjGF3,543.00
Caixa de Direção,ABSOLUTE 44MM,,0.00
Suspensão,SR SUNTOUR XCM30,https://meli.la/1oQkV64,275.19
Freios,SHIMANO MT200,https://meli.la/2i3yjYs,278.91
Discos,SHIMANO RT26 160MM,https://meli.la/1xxu67H,159.00
Trocador Traseiro,Absolute Prime 12vR,https://tidd.ly/3Om9XtT,910.37
Trocador Dianteiro,,,
Câmbio Traseiro,Absolute Prime 12vRD,,0.00
Câmbio Dianteiro,-,,0.00
Cassete,Absolute Prime 12v,,0.00
Corrente,DEORE M5100,,0.00
Pedivela,SHIMANO MT510 34D,https://tidd.ly/4ck2CTM,425.94
Movimento Central,SHIMANO BB52,,0.00
Aro,VZAN EXTREME PRO,https://meli.la/2UFLPaK,339.00
Cubo,VZAN,,0.00
Raio,AÇO PRETO,,0.00
Pneu,CHAOYANG VICTORY 2.20,https://meli.la/1nP61o4,176.49
Câmara/Tubeless,CAMARA PIRELLI,https://meli.la/1jFc7ep,59.27
Guidão,KIT ABSOLUTE ALUMINIO,,178.06
Mesa,ABSOLUTE,,0.00
Manopla,ABSOLUTE DE ESPUMA,,0.00
Canote,ABSOLUTE,,0.00
Selim,ABSOLUTE POWER,,0.00
Pedal,ABSOLUTE BRUTUS,https://meli.la/2bQfWJj,35.59
TOTAL,,,3271.53
